Source Code name,Source Data Element,Output Generated,Links to Code name,Output Data Element
%_ensure_sources,synthetic data generated for txn_raw,work.txn_raw,proc sql (txn_mth aggregation),txn_raw data aggregated monthly in txn_mth
%_ensure_sources,synthetic data generated for acct_master,work.acct_master,proc sql (base_join),account master joined for base features
%_ensure_sources,synthetic data generated for cust_master,work.cust_master,proc sql (base_join),customer master joined for base features
proc sql txn_mth,"aggregated txn features (spend_pos, spend_neg, delinq_hits, txn_cnt, avg_txn_amt)",work.txn_mth,proc sql base_join,monthly txn features joined with acct and cust master
proc sql base_join,"joined account, customer, and monthly transaction features",work.base_join,data step risk_base,"computed balances, utilization, PD/LGD/EAD proxies"
asset_class_map creation,product_cd,asset_class_map.product_cd,asset_class_map creation,product_cd
asset_class_map creation,asset_class,asset_class_map.asset_class,asset_class_map creation,asset_class
asset_class_map creation,risk_weight,asset_class_map.risk_weight,asset_class_map creation,risk_weight
join work.risk_base with asset_class_map,risk_base.product_cd,joined.product_cd,join work.risk_base with asset_class_map,product_cd
join work.risk_base with asset_class_map,asset_class_map.asset_class,joined.asset_class,join work.risk_base with asset_class_map,asset_class
join work.risk_base with asset_class_map,asset_class_map.risk_weight,joined.risk_weight,join work.risk_base with asset_class_map,risk_weight
Staging logic,joined.days_past_due,staging.stage,Staging logic,stage
Staging logic,joined.high_util,staging.stage,Staging logic,stage
Staging logic,joined.ead_point,staging.ecl,Staging logic,ecl
Staging logic,joined.pd_point,staging.ecl,Staging logic,ecl
Staging logic,joined.lgd_point,staging.ecl,Staging logic,ecl
Staging logic,staging.stage,staging.stage_scalar,Staging logic,stage_scalar
Staging logic,joined.risk_weight,staging.rwa,Staging logic,rwa
Staging logic,joined.ead_point,staging.rwa,Staging logic,rwa
Staging logic,joined.balance,staging.int_income,Staging logic,int_income
Staging logic,joined.rate_apr,staging.int_income,Staging logic,int_income
Portfolio aggregation,staging.ead_point,portfo_agg.ead_sum,Portfolio aggregation,ead_sum
Portfolio aggregation,staging.ecl,portfo_agg.ecl_sum,Portfolio aggregation,ecl_sum
Portfolio aggregation,staging.rwa,portfo_agg.rwa_sum,Portfolio aggregation,rwa_sum
Portfolio aggregation,staging.int_income,portfo_agg.nii_sum,Portfolio aggregation,nii_sum
Final join for risk_rwa,staging.*,risk_rwa.*,Final join for risk_rwa,*
Final join for risk_rwa,portfo_agg.ead_sum,risk_rwa.ead_sum,Final join for risk_rwa,ead_sum
Final join for risk_rwa,portfo_agg.ecl_sum,risk_rwa.ecl_sum,Final join for risk_rwa,ecl_sum
Final join for risk_rwa,portfo_agg.rwa_sum,risk_rwa.rwa_sum,Final join for risk_rwa,rwa_sum
Final join for risk_rwa,portfo_agg.nii_sum,risk_rwa.nii_sum,Final join for risk_rwa,nii_sum
work.risk_rwa,pd_point,work.stressed.pd_stress,work.scen_apply,pd_stress
work.risk_rwa,lgd_point,work.stressed.lgd_stress,work.scen_apply,lgd_stress
work.risk_rwa,risk_weight,work.stressed.rw_stress,work.scen_apply,rw_stress
work.risk_rwa,ead_point,work.stressed.ecl_stress,work.stressed,ecl_stress
work.risk_rwa,ead_point,work.stressed.rwa_stress,work.stressed,rwa_stress
work.risk_rwa,int_income,work.stressed.nii_stress,work.stressed,nii_stress
work.risk_rwa,ecl,work.stressed.cet1_need,work.stressed,cet1_need
work.scenarios,pd_mult,work.stressed.pd_stress,work.scen_apply,pd_stress
work.scenarios,lgd_add,work.stressed.lgd_stress,work.scen_apply,lgd_stress
work.scenarios,rw_add,work.stressed.rw_stress,work.scen_apply,rw_stress
work.scenarios,nii_mult,work.stressed.nii_stress,work.stressed,nii_stress
work.stressed_metrics,ead,ead_base,work.base_s,ead_base
work.stressed_metrics,rwa_base,rwa_base,work.base_s,rwa_base
work.stressed_metrics,ecl_base,ecl_base,work.base_s,ecl_base
work.stressed_metrics,nii_base,nii_base,work.base_s,nii_base
work.stressed_metrics,ecl_stress,ecl_severe,work.base_s,ecl_severe
work.stressed_metrics,rwa_stress,rwa_severe,work.base_s,rwa_severe
work.stressed_metrics,nii_stress,nii_severe,work.base_s,nii_severe
work.stressed_metrics,cet1_need,cet1_need_severe,work.base_s,cet1_need_severe
work.balance_sheet_params,asof_mth,asof_mth,work.final_reg_report,asof_mth
work.balance_sheet_params,common_equity_tier1,"cet1_cap, tier1_cap, cet1_ratio_base, cet1_ratio_stress",work.final_reg_report,"cet1_cap, tier1_cap, cet1_ratio_base, cet1_ratio_stress"
work.balance_sheet_params,addl_tier1,tier1_cap,work.final_reg_report,tier1_cap
work.balance_sheet_params,hqla,"hqla, lcr",work.final_reg_report,"hqla, lcr"
work.balance_sheet_params,net_outflows_30d,"net_outflows_30d, lcr",work.final_reg_report,"net_outflows_30d, lcr"
work.base_s,rwa_base,rwa_base,work.final_reg_report,rwa_base
work.base_s,rwa_severe,"rwa_severe, cet1_ratio_stress",work.final_reg_report,"rwa_severe, cet1_ratio_stress"
work.base_s,nii_base,nii_base,work.final_reg_report,nii_base
work.base_s,nii_severe,nii_severe,work.final_reg_report,nii_severe
work.base_s,ecl_base,ecl_base,work.final_reg_report,ecl_base
work.base_s,ecl_severe,"ecl_severe, mgmt_action",work.final_reg_report,"ecl_severe, mgmt_action"
work.base_s,cet1_need_severe,"mgmt_action, cet1_ratio_stress",work.final_reg_report,"mgmt_action, cet1_ratio_stress"
